annotation_id,date,platform,content
18,2026-01-20 07:00:00,threads,Kombinasi latihan bisa jadi POWEFULL jika dilakukan dengan rutin... Selamat Mencoba...
19,2026-03-26 07:00:00,threads,Baik kak. Jadi memang alat stik itu bisa expired ya ternyata? Senin depan baru bs bawa HbA c kak karena saya masih diluar kota. Makasih banyak insight nya 🙏
20,2025-08-21 07:00:00,threads,Na'am kak.. Berarti IF juga hindari karbo ya termasuk nasi merah ? Memang suami penyuka minuman kaleng n manis.. Jazakillah Khairan kak untuk sharingnya..
21,2026-03-22 07:00:00,threads,Penyakit yg merenggut nyawa adik ipar saya. Husnul Khatimah adek cantik 🥹🤲🏻
22,2026-05-11 07:00:00,threads,"Saya prediabetes,gds saya ,td / , BB saya kg,TB"
23,2026-03-26 07:00:00,threads,Susah kan kakkk. Cuma senin bsk mau kubawa periksa hba c dlu kakk Usia brp bapak mertuanya kak?
24,2026-02-17 07:00:00,threads,"✅ Pre-Ramadan Flush Mulai hari ini, H- Ramadan, stop semua kopi manis. Kasih waktu jam buat ginjal lo melakukan Self-Cleaning dan menurunkan tingkat inflamasi sebelum lo mulai puasa."
25,2026-04-19 07:00:00,threads,Dah nak masuk minggu kedua buat i.f. Bacaan gula dah terkawal. Tak suka pun minum air manis air viral. Cuma kuat makan nasi. Haritu terkejut check gula . Esok tu terus insaf nak diet.
26,2025-10-30 07:00:00,threads,Darah tinggi boleh normal ke sis?
27,2026-03-22 07:00:00,threads,"Mon maap dok izin nanya, cara cek kt kencing lbh dr ltr perhari gimna? Masa hrs saya tampung d ember 😭😭😭"
28,2026-02-06 07:00:00,threads,"Nanya whey aman apa nggak ✅️ Nanya olahraga harus tiap hari apa nggak ✅️ Nanya jalan kaki itu olahraga apa bukan ✅️ Nanya pantangan makan ✅️ Nanya nasi masih boleh apa nggak ✅️ Nanya dokternya bisa ditanya lagi apa nggak ✅️ Nanya kalau udah lansia masih boleh gym apa nggak ✅️ Udah semua ditanya Yang belum apa? Yak, memulai ❎️"
29,2026-04-04 07:00:00,threads,"rutin minum obat dan suntik insulin sesuai instruksi dokter, rajin kontrol ke dokter, jaga tekanan darah tinggi agar diabetes tidak cepat merusak ginjal lewat tekanan darah yg tinggi sehingga harus cuci darah, makan senormalnya, jgn banyak atau bahkan ekstrim makan dikit/diet aneh , aktivitas fisik rutin yg santai. Jaga kelembapan kulit pakai lotion untuk mengurangi gatal . Sedia madu di kamar atau tas, jd kalau drop gulanya konsumsi madu."
30,2026-02-08 07:00:00,threads,"Kebalikan nya ama aku,,aku malah hipo,dan telat makan sedikit aja auto turun drastis itu GD di angka an,gemetar, deg an,keliyengan, aku emang kurang suka manis jd lah kalo kumat ya mau ga mau makan roti an,beli es krim,makan nasi yg banyak,"
31,2026-02-11 07:00:00,threads,"Dengar baik-baik: Luka diabetes idealnya lembap, bukan kering Kenapa ditutup? ✔ melindungi dari bakteri ✔ mempercepat regenerasi jaringan ✔ menjaga suhu luka stabil ✔ menurunkan risiko infeksi"
32,2026-04-24 07:00:00,threads,Guyss share dong.disini ad yang penderita diabetes gakk?? Dan punya luka yang susah sembuh gakk??
33,2026-05-12 07:00:00,threads,"Mau dokter, bagaimana caranya?"
34,2026-02-10 07:00:00,threads,"semangat sissss, olahraga rutin, makan juga diatur jam nya. aku juga penderita diabetes, tiap pagi & malem ga makan, soalnya kalo kebanyakan makan gula darahku naiknya tinggi huhu. biar ga lemes bisa minum diabetasol dulu sissss. semoga membantu ya"
35,2026-05-12 07:00:00,threads,Sdh klik link wa diprofil ?
36,2026-02-06 07:00:00,threads,h Do you preface White supremacy with “not all White people”?
37,2024-10-29 07:00:00,threads,"dilarang minum obat diabetes jd atur makan, yg tetap lanjut obat hipertensi. pernah cek kreatinin infonya diangka , skrg efek ginjal jga kayaknya kena ke lambungnya. matanya proses laser tp yg dilaser malah makin kabur."
38,2026-02-06 07:00:00,threads,"h I'm so sick of the false ""Musk created jobs!"" narrative. We gave him $ illion so far, exactly how many jobs did that create? Don't bother looking it up, he used it to buy more Republicans."
39,2026-02-06 07:00:00,threads,h i don't get why i would ever need to ask google maps something
40,2026-01-16 07:00:00,threads,Akuuu jg sering bikin jus bit kk Aku jg jualin eh banyak yg minat Paling enak mix apel nanas jahe
41,2026-02-06 07:00:00,threads,h Imma get me some Fleet
42,2026-03-26 07:00:00,threads,"Diabetes tidak selalu dari makanan minuman manis. Kebanyakan makan karbo juga iya. Gak pernah olahraga juga iya, pola hidup lah intinya. Bisa juga genetik"
43,2025-08-23 07:00:00,threads,"Sy banget ini dok, kalori harian sy batasin - bb jadi tp jalan bulan badan stuck gak bisa turun lagi walaupun kalori harian hanya segitu, lalu setahun lalu sy mulai angkat beban bb turun ke tapi kalori harian kdg lebih tapi badan segini aja mlh lebih proposional"
44,2026-05-04 07:00:00,threads,Penjelasannya dimana ya? Aku cariin gak ketemu
45,2025-07-04 07:00:00,threads,"Intinya: Bukan kamu yang harus dikurung makan rebusan doang. *menderita banget 😭 Tapi ngerti cara urutannya, kombinasinya, dan kebiasaan ngimbanginnya. Dan ngerti dulu kenapa tubuhnya, baru deh sibukin diri makan apa. Jangan kebalik. Kalau kebalik, itu yang bikin sehat terasa mahal dan dianggap mahal. Padahal bill RS lebih mahal. Choose your mahal. LOL"
46,2026-02-06 07:00:00,threads,"d TEMENNYA TEMEN GW DIAGNOSA PRE-DIABETES. Umur . Rajin gym. Makan teratur. Lifestyle aktif. Gak ngerti kenapa. Yg dia konsumsi tiap hari cuma hal: es kopi susu kekinian. Buat ""treat"" abis workout. Gw nanya tetangga gw. Bukan owner. Bukan barista. Bagian operasional di chain kopi besar. Dia ketawa: ""Lo tau gak ada modus chain kopi yg sengaja didesain biar cup = AKG gula lo sehari?"" Trs sebut istilah yg bikin gw cek menu langganan gw. Istilahnya :"
47,2025-07-04 07:00:00,threads,"Gula darah kamu naik turun kayak roller coaster? Hati-hati, insulin bisa jadi kagetan. Dan kalau insulin udah nggak stabil, efek dominonya bisa ke mana-mana. Nggak cuma diabetes. Bahkan... kualitas kesehatan keturunan kamu."
48,2026-02-06 07:00:00,threads,"d Gula sendok makan (sekitar gram) utk teh segelas. Wah, berani sekali, mgkn punya banyak stok nyawa."
49,2026-02-05 07:00:00,threads,"Sy ga minum obat apapun. Tapi di kotak obat selalu sedia. Krn puasa ga sahur, pas buka makan sayur sedikit, telur wajib, ikan ayam daging ganti an, tahu tempe. Dah lama ga makan nasi. Sesekali cheating mkn kue, mie tp jarang banget. Buah jg ga. Tiap pagi cek tensi dan dargul. Kopi, teh ga."
50,2025-10-30 07:00:00,threads,Minta izin share ya
51,2026-02-06 07:00:00,threads,Aamiin Allahumma Aamiin Semoga kamu dan keluarga juga tetap dan selalu sehat dan berbahagia ya... 🥰
52,2026-01-17 07:00:00,threads,Bit nya berapa buah dan di jus dengan berapa cc air? Pakai juicer atau blender? Diminum pagi /siang/malam? Diminum perut kosong atau habis makan? Maaf nanya krn sy mau ikutin spt itu
53,2026-03-12 07:00:00,threads,"Tadi ada istri pasien ke poli minta surat sakit. Suami gak ikut, katanya badannya sdh bengkak semua, gak mau dibawa ke IGD. Katanya sdh disuruh HD tp masih pikir"". Yg saya ingat beliau ada riwayat DM dan hipertensi. Ya salam.....terus buat apa surat sakit kalau kondisinya sdh perlu dirawat dan perlu HD"
54,2026-02-06 07:00:00,threads,h Wah baru tau mulut bisa kaya aseton baunya Info yg sangat mencerahkan Thank u 🙏
55,2026-02-06 07:00:00,threads,"d dok saya masih makan nasi, tapi pati resisten yg disimpen dulu di kulkas kadang jam kadang jam. porsi g/makan. sehari makan x gmn mnrt dokter"
56,2024-10-25 07:00:00,threads,"Kebetulan alm ayah diabetes udh menjalar k paru .sumber awal krn pankreas udh kewalahan memproduksi insulin utk mengolah gula spy bs disalurkan ke organ lain. Imbas nya gula numpuk di darah.fungsi ginjal sbg filtrasi darah.klo darah aj full gula,krj dy makin keras. Inilah yg bikin gagal ginjal.komplikasi lain ke organ tubuh.krn yg hrs ny gula bs sbg energi utk organ bekerja tp cm jln di darah doang. Efek samping gula adl inflamasi peradangan"
57,2026-02-06 07:00:00,threads,"h James Tolkan, known for his roles as authoritarian figures in the “Back to the Future” and “Top Gun” films, has died. He was . abcnews.com Actor James Tolkan of 'Top Gun' and 'Back to the Future' fame dies at"
58,2026-02-06 07:00:00,threads,"h If you're afraid of snake clowns, we can be friends."
59,2025-08-20 07:00:00,threads,"MasyaAllah, boleh di share tipnya kak karena qadarullah suami juga Diabetes gula sempat mencapai"
60,2024-10-28 07:00:00,threads,Lalu gimana keadaanya sekarang suaminya kak? 🥺
61,2025-04-08 07:00:00,threads,perlu jg di periksa kadar insulin dlm darah dan resistansi cell tubuh pd insulin untuk memastikan masalah dr pankreas atau insulin reseptor pd cell
62,2025-11-29 07:00:00,threads,Kalau kepala yang kesemutan kenapa ya? soalnya kepala tu suka tiba kesemutan.
63,2026-02-17 07:00:00,threads,"Kopi buat kesehatan liver, kopi bagusnya kopi item. Tanpa susu kopinya colek GERD. Jadi solusinya apa?😆 Serius nanya.."
64,2026-02-06 07:00:00,threads,"Ini persis banget kyk saya dok. Umur , lari kali seminggu, ga nyemil, ga minum manis, makan × sehari. Mutusin MCU karena makin sering pipis tengah malam bisa sampe kali, ngantuk parah setelah makan, dan cepet lemas. Ternyata hasil test HbA C saya , . Dari situ mutusin buat perbaiki pola makan + mulai ngegym buat naikin massa otot. Setelah bulan test lagi HbA c turun jadi ,"
65,2026-02-06 07:00:00,threads,h love watching white people play Uno
66,2026-02-06 07:00:00,threads,"d Karena gula darah kita ada di peredaran darah kita bu. Sedangkan saat hamil, kita berbagi darah dengan si janin dalam kandungan. Otomatis kita berbagi gula darah dan nutrisi lainnya juga. Tiap hari, janin bertumbuh, maka kebutuhannya akan gula darah juga meningkat. Nah jadi itu alasannya, kenapa meskipun ibu sudah konsumsi buah an gula darah tidak naik signifikan. Terbukti dari perkembangan bayi ibu yang bagus, jadi bisa kita simpulkan kalau gula darah ibu digunakan dengan baik oleh si janin."
67,2026-03-27 07:00:00,threads,"gula darahku hampir aja udah sakit semua ini badan apalagi , cepet sembuh buat ibu ya kak. cek hb ac aja lebih akurat, obatnya minta dokter biar jelas dosisnya soalnya GD nya udah tinggi. wajib rutin olahraga kak, jika memungkinan bisa olahraga angkat beban, itu efektif bgt turunin GD, minum susu diabetasol juga biar stabil gula darahnya biar engga naik turun, banyakin makan realfood kayak tahu tempe, sayuran, telur, ikan, dll"
68,2025-11-29 07:00:00,threads,"Ini, gejala saya. Hilangnya memang setelah pola makan gluten free"
69,2026-02-17 07:00:00,threads,penyebabnya kopi/hal lain kak
70,2025-11-12 07:00:00,threads,Dokter jelaskan tentang gula yg menjadi sumber energi
71,2026-02-04 07:00:00,threads,"Kak maaf nimbrung, pernah periksa hba c kah?"
72,2025-08-19 07:00:00,threads,Spill ka cara diet low carbnya sm ifnya brp jam? Olahraga juga kah?
73,2026-05-08 07:00:00,threads,"Saya juga mantan pejuang diabetes yg hba c pernah .. usahanya mirip .. dari semua macam diet udh dilakukan tp hasil ng maksimal. Akhirnya saya dikenali dgn program kesehatan TRme. Alhamdulillah cuma bulan penyakit hilang, punya body goal wajah jadi muda lagi.. metabolisme membaik.. massa tulang naik.."
74,2026-02-27 07:00:00,threads,"Interesting posting. Saya pun memang sangat menjaga gula putih. Tak minum air manis, kuih aestetic viral, anything yang manis berdasarkan gula putih memang saya elak. Nasi, buah tu saya makan je lah cam biasa kang sakit pulak. Turns out bacaan gula dalam darah saya lagi tinggi daripada orang yg ambil gula putih😭 Belum masuk paras bahaya tapi agak tinggi sebab I betul jaga. Benda ni make sense sebab i dulu selalu gak pitam, maybe kurang glukose kot dalam darah. Hmmmmmm"
75,2025-04-08 07:00:00,threads,Wah menguatkan. Terima kasih bgt.
76,2026-02-06 07:00:00,threads,h sentiment is slowly shifting against a certain lab
77,2026-02-05 07:00:00,threads,"Alhamdulillah aku ga dn smg sll sehat, umurku th anak tp msh suka Olga zumba + kick boxing dn mengelola stres dg me time"
78,2026-02-06 07:00:00,threads,d Ada yang salah dari kawan anda. minum kopsu buat treat abis workout padahal kalo diminum sebelum workout kan gulanya bisa diolah jadi energi pas workout
79,2026-01-12 07:00:00,threads,"Awan ini badannya gempal. Hoblnya makan. Prinsip hidupnya: ""Kalau ada yang gratis, kenapa harus bayar?"" Pas giliran dia, dia semangat banget. Mulutnya mangap lebar-lebar. Kayak anak burung nunggu disuapin induknya. Dikasih garem: ""Asin Pak! Tambah lagi dong, enak nih buat lauk."" Dikasih kopi tanpa gula: ""Pahit Pak! Tapi lumayan buat melek."" Dikasih jeruk nipis: ""Seger Pak! Kurang es batu aja nih."" Saya geleng-geleng. ""Wan, ini praktek biologi, bukan prasmanan kondangan!"""
80,2026-02-19 07:00:00,threads,"Lalu si pembuluh darah kamu mulai kaku. Gula darah tinggi kronis ngerusak dinding pembuluh darah. Kolesterol nempel di dinding yang rusak. Jantung kerasa kerja lebih berat buat mompain darah. Tekanan naik. Hipertensi bukan penyakit ""orang tua."" Ini penyakit ""orang yang insulin-nya diabaikan."""
81,2026-02-06 07:00:00,threads,d Terimakasih banyak dok 🙏🙏
82,2026-02-06 07:00:00,threads,Ijin tanya cemilan yang bagus buat penderita diabetes apa ya? Yang bisa awet juga.
83,2026-02-06 07:00:00,threads,d Untung jarang bgt kopsus
84,2025-04-08 07:00:00,threads,Sudah jogging menit setiap pagi dan tidak makan malam?
85,2026-02-12 07:00:00,threads,"diabetasol wafer, ibuku penderita diabetes suka ngemil itu. pernah ibuku beli kripik langsung aku buang, daripada gula nya naik mending ku buang😅"
86,2026-02-17 07:00:00,threads,Kl kopi hitam tanpa gula + susu full fat gimana?
87,2026-03-10 07:00:00,threads,Ini bener banget 💯 Seratus buat kakak Sebagai contoh : Jika SGOT nya tinggi (ini biasanya orgnya suka minum alkohol) Jika SGPT tinggi (kemungkinan besar orgnya obesitas Dan perutnya buncit) Terima kasih sudah berkomentar
88,2025-04-08 07:00:00,threads,"btw kalo uda atur makanan yg ga karbo ga gula, menurut saya ga perlu defisit kalori sih hahaha. Itu perut dan hipotalamus udh alarmnya jalan...masi butu nutrisi ya dia laper, udh cukup ya uda kenyang. Soalnya saya perna praktekin pas diet low carb, bisa turun ke bb jaman saya SMP tanpa hitung an kalori nimbang makanan."
89,2025-08-19 07:00:00,threads,"Tidak makan nasi sama sekali ? Kok aku pusing ya. Sampe rasanya ky muter . Bb sebelum nikah kg, setelah nikah kg🫠"
90,2026-02-07 07:00:00,threads,Semangat ya Kak.. No boba juga loh
91,2026-03-01 07:00:00,threads,Ngeri baca komentar nya. 😭
92,2026-02-06 07:00:00,threads,"d Sama kak, semoga bermanfaat 😊"
93,2026-05-08 07:00:00,threads,"Yang pertama adalah selalu makan karbo + serat. Makan indomie? Pakein daun sawi segenggam. Makan nasi? wajib ada sayur hijau rebus. Serat memperlambat naiknya gula darah. Alhasil, ga ada lonjakan, dan lemak engga numpuk. Yang kedua adalah minum satu sendok cuka apel dicampur air sebelum makan karbo. Selain serat, asem juga bisa nurunin lonjakan gula darah. Di mana saya mati-matian nahan nafsu buat ga makan nasi, si temen saya itu masih bisa enjoy makan nasgor dan pasta dengan hati tenang"
94,2025-10-30 07:00:00,threads,"Sya da stop ubat darah tinggi almost a year, after buat if+omad. Tp bila stress darah on off naik normal 😆 nak buat blk if omad, tp kena gastric la pula. Tgu dlu la"
95,2026-03-01 07:00:00,threads,"jam setelah makan pergi ke apotik, minta cek gula darah. klo gula darah tembus antara - itu berarti lu masuk pre-diabetes, tapi klo udah diatas lu fix udah kena diabetes. tahu kan kenapa diabetes disebut silent killer? karena klo badan lu udah limit lu bakal kolaps tanpa warning"
96,2026-01-17 07:00:00,threads,Kalo saya lebih suka di makan mentah enak mirip bengkuang rasanya
97,2026-01-20 07:00:00,threads,Masalah Utama : Diabetes /Prediabetes/PCOS Penyebab Utama : RESISTENSI INSULIN Latihan dibawah ini adalah Cara Cerdik buat MEMPERBAIKI RESISTENSI INSULIN... Penting!!!!untuk kamu ketahui...
98,2025-11-30 07:00:00,threads,Mmaanntttaapppp..bener bgt apa yg d sampaikan
99,2026-02-06 07:00:00,threads,m Ketosis di IF terjadi didalam proses pembakaran lemak menjadi energi dibantu oleh glicogen atau gula darah. Tidak ada bau yang tercium Dari proses ini
100,2025-11-14 07:00:00,twitter,"Diskusi sempena Hari Diabetes Sedunia menyorot beban penyakit, cabaran pekerja, peranan majikan serta penggunaan teknologi moden dalam pengurusan diabetes di tempat kerja. AWANIpagi AWANInews"
101,2026-05-05 07:00:00,twitter,"Mati, krn cahaya ketika tidur Beresiko lebih tinggi menderita diabetes serta penyakit metabolik dan degeneratif lainnya"
102,2020-09-16 07:00:00,twitter,"4. Mencegah Diabetes Kafein dalam kopi dapat meningkatkan sensitivitas dalam tubuh terhadap insulin. Selain itu, kafein dalam kopi juga dapat mencegah penyakit jantung loh Intelektual Muda Meskipun kopi kaya akan manfaat, ada baiknya kamu tetap mengonsumsi kopi dalam (cont)"
103,2020-03-17 07:00:00,twitter,Anyway.virus ini belum ada vaksin dan belum ada obatnya. Solusi cuma isolasi diri sendiri dan disiplin dengan kesehatan. Yg resiko tinggi kalau ada diabetes atau penyakit lain. Daripada mikirin orang lain nularin ke lainnya. pikirin dulu diri sendiri .supaya dirumah aja.
104,2022-11-15 07:00:00,twitter,"Mewakili MedTweetMY untuk menghadiri Majlis Pelancaran Sambutan Hari Diabetes Sedunia 2022 yang dianjurkan oleh Cawangan Penyakit Tidak Berjangkit, KKM Putrajaya"
105,2018-10-22 07:00:00,twitter,"Mereka yang tak aktif berolahraga memiliki risiko kesehatan yang lebih buruk daripada merokok, diabetes dan penyakit jantung."
106,2023-04-08 07:00:00,twitter,Apa yang harus dilakukan bila terdiagnosis penyakit DM? . CERDIK CegahPTM DukungGERMAS Diabetes Diabetesmelitus
107,2022-04-26 07:00:00,twitter,"Percaya atau tidak pada tahun 2020, penyakit diabetes menduduki tangga ke-8 sebagai punca utama kematian di Malaysia. Jadi, pastikan anda sentiasa menjaga pemakanan sepanjang menyambut Hari Raya Aidilfitri."
108,2025-01-11 07:00:00,twitter,"Cara Mengolah Tanaman Ginseng Jawa Untuk mendapatkan khasiat dari ginseng jawa ini sebenarnya tidaklah terlalu sulit bergantung dari penggunaan tanaman ini apakah untuk penyakit dalam atau hanya sebagai pengobatan luar. Penyakit dalam: Untuk mengatasi penyakit dalam bisa mengeringkan daun ginseng jawa lalu dihaluskan dan diseduh menjadi teh atau bisa juga diolah menjadi masakan seperti tumis, sayuran berkuah dan juga minum air rebusan ginseng jawa. Penyakit luar: Sedangkan untuk mengatasi penyakit luar seperti luka, bengkak atau jerawat bisa dilakukan dengan cara menghaluskan bagian daun ginseng jawa dan mengaplikasikannya langsung pada area tubuh yang bermasalah. Artikel terkait: Manfaat Bunga Rosella Manfaat Jintan Hitam Manfaat Daun dan Bunga Kitolod Manfaat Daun Zodia Manfaat Daun Karsen Untuk Diabetes Tanaman ginseng jawa yang awalnya hanya sebagai tanaman liar, kini sudah menjadi tanaman hias atau apotek hidup karena memiliki kandungan yang sangat bermanfaat untuk kesehatan tubuh, mulai dari bagian daun sampai akar dari ginseng jawa tersebut. fbWhatsappTwitterLinkedIn Tagsginseng, herbal"
109,2020-11-12 07:00:00,twitter,Jutaan rakyat Malaysia yang menghidap diabetes atau penyakit kencing manis bergelut untuk mengawal paras gula (glukosa) dalam darah mereka! Fakta yang sudah tentunya mencemaskan.
110,2020-05-02 07:00:00,twitter,"Kawan Kawan yang ada saudara mara dengan penyakit kencing manis, boleh download app ini. DIAri (Diabetes, Insulin Adjustment and Ramadan information) - merupakan satu aplikasi yang dibangunkan bagi membantu pesakit Diabetes mengawalkan paras gula dengan mengubahsuai dos insulin."
111,2021-04-24 07:00:00,twitter,"Memang apa saja sih dampaknya Stunting bagi anak? anak stunting akan memiliki kecerdasan di bawah rata sehingga prestasi belajar tdk bsa maksimal. Sistem imun tubuh anak tidak baik sehingga anak mudah sakit. Anak akan lebih tinggi resiko menderita penyakit diabetes,jantung"
112,2017-11-12 07:00:00,twitter,Program Blue Walk untuk kesedaran penyakit diabetes: via
113,2024-03-07 07:00:00,twitter,"Penyakit diabetes merupakan penyakit dengan kadar gula darah tinggi, kondisi inilah yang dapat memperlambat proses penyembuhan luka pada tubuh. Sehingga perlu penanganan yang tepat agar luka tidak mengalami infeksi."
114,2020-03-29 07:00:00,twitter,"Makanan Popular Ini Punca Diabetes, Penyakit Jantung Dan Strok! Ramai orang sedar bahawa mee segera tidak sihat tetapi masih terdapat individu yang menafikan bahawa ia boleh membahayakan kesihatan mereka."
115,2020-07-23 07:00:00,twitter,"Ada nih pabrik deket rumah ku, hampir semua petinggi pabrik itu kalau udah pensiun kena penyakit, entah stroke, darah tinggi ataupun diabetes. Kalau kata orang sih buat tumbal pesugihan, biar pabrik nya bjalan lancar. Eh ternyata. Semua gara"" burn out di masa muda"
116,2023-04-07 07:00:00,twitter,Kencing manis Juga disebut: Diabetes Sejumlah penyakit yang mengakibatkan terlalu banyak kadar gula dalam darah (glukosa darah tinggi).
117,2020-05-14 07:00:00,twitter,"Mba. cancer,hiv, diabetes itu type penyakit yang berbeda dengan COVID 19. Liat cara penyebarannya aja beda. Gimana si? Dengan Corona kita ngga bisa damai,kecuali kalo emang mau ngurangin jumlah populasi manusia di Indonesia"
118,2020-03-11 07:00:00,twitter,"TAKUT NYINGGUNG saat umumkan suspect Covid-19 meninggal dunia, jubir pemerintah utk Corona Achmad Yurianto sangat tekankan bhw penyebab kematian bukan Covid-19 tapi penyakit lain spt diabetes, obstruksi menahun, dll. ke-hati2-an yg terkesan takut nyinggung perasaan Covid-19."
119,2020-11-16 07:00:00,twitter,"Faktor Risiko yang Bisa Turunkan Harapan Hidup Penderita Diabetes.Apa pun yang memperburuk diabetes atau meningkatkan risiko pengembangannya,kemungkinan juga dapat memperpendek harapan hidup seseorang dengan penyakit tersebut pt3sindonesia polahidupsehat diabetes"
120,2022-12-19 07:00:00,twitter,"Selama lebih dari tiga tahun Wanda Wijaya menjadi satu-satunya orang yang paling diandalkan saat ibunya sakit. Sejak tahun 2016, ibu Wanda didiagnosa menderita penyakit diabetes lalu disusul serangan stroke. Sang ibu tak bisa lagi berjalan dan beraktivitas secara mandiri."
121,2024-01-14 07:00:00,twitter,"Minuman manis banyak gulanya, kalo kita lihat riset yang ada, gula tuh bikin diabetes, semakin murah minuman manis maka banyak konsumsinya, semakin banyak semakin orang tuh jadi punya penyakit"
122,2022-09-29 07:00:00,twitter,guys boleh minta doanya buat mamah aku yg lagi sakit Beliau punya diabetes + penyakit paru Susah bgt nahan nangis tiap hari liat mamah aku begini Mohon doanya biar mamah aku cepet sembuh
123,2026-05-01 07:00:00,twitter,"Bedanya gini, perokok menyebabnya penyakit gak hanya untuk usernya saja tapi juga sekitarnya (istri dan anak juga terserang ppok sebab rokok). Kalau diabetes yang disebabkan pola hidup tidak sehat menyerang hanya usernya."
124,2016-12-21 07:00:00,twitter,Obat Herbal untuk Penyembuhan Penyakit Stroke dan Diabetes -
125,2021-09-17 07:00:00,twitter,"4. Evaluasi riwayat penyakit Penyakit kronis spt diabetes, hipertensi, gangguan mental, tiroid, autoimun, harus dikontrol/diterapi sebelum hamil sampai stabil. Memerlukan penanganan dokter spesialis khusus."
126,2017-05-09 07:00:00,twitter,Gangguan metabolisme yang terjadi terus menerus dapat meningkatkan resiko kamu terkena penyakit metabolisme seperti diabetes.
127,2019-01-25 07:00:00,twitter,"irwan_sst RT KemenkeuRI: Asupan gizi yg cukup harus diperhatikan agar penyakit seperti diabetes, stroke, dan penyakit jantung tidak jadi ancaman saat usia dewasa. Sehingga produktivitas tidak terhambat dan mampu berkontribusi dalam pertumbuhan ekonomi"
128,2021-07-21 07:00:00,twitter,"DARAH Kakekku berumur 70an menderita diabetes udah 15 thn. Dan 3 tahun terakhir didiagnosa penyakit gagal ginjal. Cuci darah 2x dalam seminggu. Bayangin harus cuci darah kayak gini seumur hidup . Sempet gak cuci darah sekali, dan kakekku ga sadarkan diri cont"
